customer_id,name,gender,age,city,signup_date
64,김준호,M,51,수원,2025-05-28
65,손상호,F,33,인천,2026-03-20
66,김재호,F,39,서울,2026-02-03
67,심서영,F,55,인천,2025-01-09
68,이정남,F,22,서울,2024-12-18
69,남진우,F,22,서울,2023-09-23
70,엄현준,M,22,성남,2023-12-31
71,박미정,F,35,수원,2025-03-04
72,양영미,F,52,대구,2024-05-11
73,정성민,M,33,수원,2026-06-20
74,장윤서,M,30,부산,2026-07-05
75,양상훈,F,60,울산,2024-02-22
76,김수빈,M,45,울산,2024-08-01
77,김은주,M,64,서울,2024-10-23
78,김하은,F,21,울산,2023-11-26
79,이서준,M,69,부산,2023-09-14
80,김현우,F,30,인천,2024-05-17
81,최영자,M,26,울산,2023-09-24
82,노정수,F,35,수원,2024-04-27
83,전은경,F,22,수원,2024-04-26
84,김성호,F,21,성남,2023-11-09
85,김선영,F,23,인천,2024-02-15
86,최준호,F,44,수원,2026-04-30
87,유서현,M,31,울산,2024-05-18
88,송춘자,F,28,울산,2023-10-17
89,유종수,F,42,광주,2025-06-09
90,문지원,M,36,울산,2024-10-27
91,한성훈,M,27,인천,2023-11-08
92,김지은,M,31,서울,2025-08-24
93,류준호,F,65,대전,2024-08-20
94,김성진,F,21,고양,2023-12-25
95,이은주,M,50,성남,2025-05-21
96,홍순옥,F,21,성남,2023-10-21
97,주민준,F,29,부산,2024-10-25
98,최성현,F,61,인천,2025-01-08
99,나민석,M,25,고양,2026-02-20
100,김시우,F,55,고양,2025-11-24
101,박정희,F,57,부산,2026-07-16
102,이진호,M,60,고양,2025-02-02
103,장미정,M,34,인천,2024-12-18
104,장순옥,M,33,광주,2026-08-27
105,김승현,M,26,광주,2025-04-19
106,배은정,M,38,부산,2024-12-19
107,전성수,F,47,고양,2024-07-31
108,최재호,F,22,성남,2025-08-31
109,장영일,F,50,광주,2024-05-29
110,이정숙,F,40,부산,2026-04-27
111,류정훈,F,41,광주,2026-07-20
112,송민재,F,46,성남,2023-11-19
113,박준혁,M,57,성남,2023-12-31
114,손영환,F,60,성남,2026-08-25
115,이민재,M,60,부산,2026-08-12
116,권종수,F,34,부산,2024-02-21
117,김지원,F,65,성남,2026-08-25
118,김선영,F,35,광주,2024-03-15
119,송정남,F,63,대전,2026-01-24
120,하춘자,F,61,광주,2026-04-17
121,손영자,M,34,서울,2026-01-07
122,김준호,F,58,울산,2025-08-08
123,김재현,M,20,서울,2025-11-26
124,김시우,M,67,대구,2024-11-25
125,이지후,M,28,수원,2024-01-12
126,김정수,M,53,서울,2024-08-06
127,이영철,F,22,대구,2025-06-15
128,전성훈,F,41,고양,2026-03-04
129,김춘자,F,45,대구,2026-02-19
130,김성현,F,37,대전,2025-05-06
131,곽영자,F,40,인천,2026-01-04
132,배예지,F,60,부산,2024-11-05
133,김성진,M,67,성남,2026-07-30
134,오지현,M,57,대구,2024-03-25
135,박하윤,F,28,대구,2026-03-16
136,김은주,M,19,대구,2024-04-06
137,김선영,M,68,울산,2025-01-29
138,이정훈,F,35,대구,2025-04-19
139,하승현,F,42,서울,2024-01-14
140,권광수,M,32,인천,2025-03-05
141,김진호,M,40,광주,2023-11-10
142,하서연,F,32,서울,2023-10-10
143,김예은,F,43,대전,2024-03-04
144,김정자,M,22,광주,2025-04-04
145,조정호,M,59,성남,2024-03-04
146,김숙자,M,61,성남,2026-02-23
147,이정남,M,19,부산,2025-04-14
148,오도현,M,29,고양,2026-08-16
149,김정자,M,20,부산,2024-12-20
150,조미영,M,40,대전,2026-02-04
